estabelecimento,cnpj,merchant_id,bandeira,modalidade,forma_pgto,dh_venda,data,mes,status,parcelas,data_1pgto,aut,cv,terminal,valor_bruto,valor_taxa,valor_liquido,emissor
Matriz_Luminis,07843328000119,72452,Visa,Crédito,Crédito Parcelado Lojista,2025-01-03 16:02,2025-01-03,2025-01,Aprovada,06,2025-02-03,047442,000001243,14180915,540.0,-12.42,527.58,Nacional
Matriz_Luminis,07843328000119,72452,Mastercard,Crédito,Crédito Parcelado Lojista,2025-01-06 08:04,2025-01-06,2025-01,Aprovada,10,2025-02-06,499088,000001247,14180915,2000.0,-57.0,1943.0,Nacional
Matriz_Luminis,07843328000119,72452,Visa,Crédito,Crédito Parcelado Lojista,2025-01-06 09:14,2025-01-06,2025-01,Aprovada,10,2025-02-06,643488,000001251,14180915,1520.0,-38.91,1481.09,Nacional
Matriz_Luminis,07843328000119,72452,Visa,Crédito,Crédito Parcelado Lojista,2025-01-06 10:24,2025-01-06,2025-01,Aprovada,05,2025-02-06,064777,000001253,14180915,500.0,-11.5,488.5,Nacional
Matriz_Luminis,07843328000119,72452,Visa,Débito,Débito,2025-01-06 11:22,2025-01-06,2025-01,Aprovada,01,2025-01-07,340979,000001255,14180915,1000.0,-13.3,986.7,Nacional
Matriz_Luminis,07843328000119,72452,Mastercard,Crédito,Crédito Parcelado Lojista,2025-01-06 11:23,2025-01-06,2025-01,Aprovada,10,2025-02-06,4UIQPR,000001257,14180915,1390.0,-39.62,1350.38,Nacional
Matriz_Luminis,07843328000119,72452,Visa,Débito,Débito,2025-01-06 11:52,2025-01-06,2025-01,Aprovada,01,2025-01-07,421373,000001259,14180915,500.0,-6.65,493.35,Nacional
Matriz_Luminis,07843328000119,72452,Visa,Crédito,Crédito Parcelado Lojista,2025-01-06 13:22,2025-01-06,2025-01,Aprovada,04,2025-02-06,168789,000001261,14180915,990.0,-22.77,967.23,Nacional
Matriz_Luminis,07843328000119,72452,Visa,Crédito,Crédito Parcelado Lojista,2025-01-06 15:35,2025-01-06,2025-01,Aprovada,10,2025-02-06,787659,000001263,14180915,2000.0,-51.2,1948.8,Nacional
Matriz_Luminis,07843328000119,72452,Elo,Débito,Débito,2025-01-06 16:28,2025-01-06,2025-01,Aprovada,01,2025-01-07,097302,000001265,14180915,200.0,-3.6,196.4,Nacional
Matriz_Luminis,07843328000119,72452,Mastercard,Crédito,Crédito Parcelado Lojista,2025-01-06 16:39,2025-01-06,2025-01,Aprovada,10,2025-02-06,091737,000001267,14180915,1440.0,-41.04,1398.96,Nacional
Matriz_Luminis,07843328000119,72452,Visa,Crédito,Crédito Parcelado Lojista,2025-01-08 18:21,2025-01-08,2025-01,Aprovada,10,2025-02-10,168938,186235311,EC055792,1000.0,-31.6,968.4,Nacional
Matriz_Luminis,07843328000119,72452,Visa,Crédito,Crédito Parcelado Lojista,2025-01-10 16:02,2025-01-10,2025-01,Negada,10,,00000000,164436471,EC055792,1300.0,0,0,N/A
Matriz_Luminis,07843328000119,72452,Visa,Crédito,Crédito Parcelado Lojista,2025-01-10 16:03,2025-01-10,2025-01,Aprovada,10,2025-02-10,095157,169653863,EC055792,1300.0,-41.08,1258.92,N/A
